word,valence,arousal,dominance,concreteness,SUBTLEX,aoa
faraway,4.7,3.44,5.08,2.96,93.0,7.44
farce,4.33,3.96,3.68,2.32,89.0,12.12
fare,4.86,2.3,4.0,4.11,314.0,8.21
farewell,3.43,4.2,4.67,2.21,482.0,8.43
farm,6.22,3.05,6.08,4.59,1532.0,3.85
farmer,6.14,3.67,6.1,4.54,604.0,4.74
farmhouse,5.81,3.5,4.77,4.74,67.0,5.89
farming,5.47,3.25,5.83,3.46,82.0,5.37
farmland,6.58,3.14,5.67,4.86,20.0,7.9
fart,4.05,4.74,3.69,4.18,328.0,5.78
fascinate,7.0,6.1,6.32,1.75,26.0,10.21
fascinating,7.37,5.14,6.17,1.93,769.0,11.22
fascination,7.25,5.08,6.0,1.89,90.0,8.63
fascism,2.5,5.1,3.05,1.83,39.0,14.33
fascist,3.1,4.74,3.88,2.26,125.0,14.68
fashion,5.26,5.25,5.6,3.43,957.0,8.2
fashionable,7.33,4.05,5.68,1.93,98.0,9.67
fastball,5.7,6.1,5.42,3.79,59.0,7.06
fasten,5.63,4.0,7.14,4.14,190.0,7.26
fat,2.74,3.89,4.0,4.52,4051.0,5.15
fatal,2.0,6.79,3.54,3.19,362.0,9.05
fatality,2.85,6.05,3.69,3.5,46.0,10.26
fate,5.38,5.2,5.53,1.53,1375.0,10.3
fated,4.43,3.85,2.55,1.5,32.0,10.18
fateful,5.0,4.5,4.8,1.31,51.0,11.12
fathead,3.47,5.0,4.32,3.11,33.0,8.67
father,6.88,3.68,5.19,4.52,28279.0,4.11
fatherhood,6.77,4.57,5.61,2.76,23.0,8.5
fatherland,5.1,3.57,5.56,2.74,39.0,11.4
fatherly,6.53,3.54,6.61,2.56,31.0,9.44
fathom,5.21,4.71,4.3,2.07,53.0,11.44
fatigue,3.64,3.26,4.05,3.14,93.0,11.83
fatigued,2.89,3.78,4.33,,,
fatso,2.68,5.33,4.0,2.86,161.0,6.72
fatten,3.89,3.39,4.65,3.23,23.0,7.94
fatty,2.38,3.35,3.5,3.9,260.0,6.37
faucet,5.55,3.53,6.31,4.48,73.0,6.29
fault,3.53,4.02,4.02,2.41,5310.0,6.94
faulty,3.48,4.68,4.42,2.1,83.0,9.63
faun,5.1,4.18,5.47,,,13.72
fauna,6.05,3.25,6.0,3.96,27.0,12.2
faux,4.25,3.57,4.52,2.5,41.0,13.25
favor,6.67,4.61,6.24,2.07,3609.0,6.94
favorable,6.9,4.59,6.78,2.32,55.0,11.9
favorite,7.39,4.4,7.0,2.71,3032.0,5.72
favoritism,4.81,5.15,4.83,1.93,21.0,8.58
fawn,6.15,3.92,5.73,4.3,36.0,8.4
fax,5.24,3.37,5.67,4.48,357.0,9.68
faze,4.82,3.91,5.45,,,10.81
fear,2.93,6.14,3.32,2.57,3523.0,4.79
fearful,2.66,5.45,3.12,2.2,110.0,7.5
fearless,5.81,4.05,6.93,1.9,152.0,9.37
fearsome,3.32,5.45,3.58,2.0,39.0,7.78
feasible,5.84,4.2,6.79,1.57,31.0,13.12
feast,7.57,5.26,6.21,4.3,342.0,7.81
feat,6.0,4.0,6.19,2.44,78.0,11.26
feather,6.3,3.29,5.97,4.9,338.0,4.67
feathered,6.29,3.36,5.84,3.96,34.0,8.11
feature,5.6,3.91,6.26,2.96,298.0,7.0
fecal,2.4,4.52,4.2,3.93,30.0,11.67
feces,2.23,4.35,4.53,4.96,38.0,9.89
federal,3.06,4.45,2.76,2.41,1173.0,13.5
federation,4.68,3.55,5.35,2.24,197.0,12.17
fee,2.86,4.08,4.12,3.89,494.0,8.56
feeble,3.87,3.68,3.53,2.59,86.0,9.39
feed,6.95,4.55,6.79,4.17,2162.0,4.17
feedback,5.91,4.17,5.58,2.48,140.0,10.7
feeder,5.18,4.22,4.95,4.36,35.0,7.29
feel,6.27,4.05,5.5,2.28,31989.0,5.11
feeling,6.5,3.86,6.5,1.68,8577.0,5.31
feign,4.45,3.72,5.05,2.11,23.0,13.93
feisty,5.76,6.3,6.11,2.0,71.0,9.17
feline,6.86,3.58,5.86,4.38,46.0,8.43
feller,4.82,3.14,4.5,,,8.5
fellow,6.28,3.05,6.0,3.67,2987.0,8.89
fellowship,6.43,2.91,5.94,2.28,150.0,10.37
felon,2.2,4.95,3.36,3.83,128.0,10.71
felony,2.42,4.95,4.31,3.5,285.0,12.45
female,7.52,5.9,6.42,4.57,1612.0,5.89
feminine,7.33,4.32,5.09,2.41,233.0,8.26
femininity,6.25,4.48,5.86,2.17,20.0,12.44
feminist,4.26,3.89,5.12,2.46,93.0,12.06
femme,6.17,4.4,4.84,2.95,63.0,13.71
femoral,4.5,4.28,4.52,,,13.31
femur,4.55,3.06,5.25,4.88,58.0,11.11
fence,5.05,2.7,5.2,4.82,819.0,6.28
fencing,5.17,3.86,5.9,4.45,70.0,10.94
fend,4.82,4.74,5.86,2.34,47.0,10.18
fender,5.11,3.25,5.06,4.54,130.0,8.5
fennel,5.35,3.59,6.29,,,13.68
fern,6.52,3.15,4.67,5.0,163.0,8.67
ferocious,3.21,6.67,3.96,2.96,79.0,9.74
ferret,4.89,4.11,4.25,4.97,83.0,8.47
ferry,6.3,2.71,5.43,4.83,273.0,8.0
ferryboat,5.86,4.1,5.28,4.77,21.0,8.63
fertile,7.0,5.41,4.92,2.96,80.0,9.32
fertility,5.85,4.72,4.55,2.59,97.0,14.45
fertilize,5.45,4.27,6.52,3.72,21.0,9.53
fertilizer,4.45,3.45,5.63,4.76,100.0,7.67
fess,3.57,3.43,5.0,,,10.57
fest,6.57,4.78,5.23,3.68,69.0,9.88
festival,6.84,5.86,5.6,4.33,505.0,8.39
festive,7.14,5.67,6.55,2.74,98.0,8.42
fetal,3.95,4.36,4.17,3.64,59.0,11.95
fetch,5.32,4.05,5.6,3.42,559.0,6.61
fetish,5.0,4.67,4.8,2.48,117.0,13.44
fetus,4.74,4.24,4.6,4.62,82.0,12.72
feud,4.04,5.1,4.25,3.18,66.0,10.33
fever,2.92,5.02,3.12,3.27,1017.0,5.84
feverish,3.09,5.35,3.79,2.57,33.0,8.94
fiancee,7.14,5.04,6.05,3.86,154.0,8.47
fiasco,4.05,5.28,3.0,2.28,83.0,11.68
fib,3.15,5.6,4.68,2.47,65.0,6.5
fiber,5.42,3.58,5.36,4.5,156.0,10.82
fiberglass,4.37,2.59,4.61,4.9,24.0,10.84
fibrosis,3.26,4.1,4.87,,,14.94
fickle,4.75,5.25,4.46,2.24,60.0,11.0
fiction,6.47,4.7,6.45,2.14,310.0,7.22
fictional,5.95,3.61,5.89,2.11,71.0,8.0
fictitious,5.85,4.38,4.64,2.46,31.0,9.06
fiddle,5.05,4.05,4.85,4.81,185.0,8.28
fiddler,5.62,3.87,5.94,4.58,45.0,8.56
fidelity,6.7,3.83,6.68,1.87,101.0,12.82
field,5.73,3.84,5.74,4.26,3580.0,6.1
field hockey,4.86,3.5,5.41,,,
fielder,4.72,4.19,5.22,3.89,28.0,9.44
fiend,3.77,5.18,3.9,2.93,143.0,10.39
fiendish,3.95,4.72,3.89,1.79,30.0,12.05
fierce,4.0,5.7,5.7,2.62,244.0,9.04
fiery,5.7,5.64,5.89,3.23,103.0,10.28
fiesta,6.72,6.22,5.29,4.12,64.0,10.84
fifteen,4.94,3.65,4.76,3.37,895.0,6.1
fifty,4.74,3.45,5.9,3.48,960.0,5.55
fig,5.23,4.22,6.05,4.97,62.0,8.06
fight,3.54,6.33,4.68,4.2,10255.0,5.47
fighter,5.1,5.3,6.42,3.96,652.0,6.89
figment,5.0,4.35,5.0,2.04,55.0,9.63
figure,5.09,3.67,5.39,3.63,6598.0,7.53
file,5.44,3.4,4.61,4.41,2246.0,8.21
filet,6.14,3.18,5.14,4.59,48.0,9.89
fill,5.56,3.35,6.78,3.32,2241.0,5.06
filler,4.9,3.89,5.85,2.92,28.0,8.83
fillet,6.7,4.62,5.35,4.75,25.0,10.95
filly,5.05,2.92,4.47,,,10.0
film,6.33,4.1,6.17,4.71,3328.0,6.95
filmmaker,5.48,3.96,5.72,4.38,104.0,11.0
filter,5.5,3.62,5.62,4.59,162.0,8.05
filth,2.62,4.09,4.07,4.14,231.0,7.45
filthy,3.42,4.65,4.46,3.53,838.0,7.17
filtration,5.55,4.17,5.71,3.5,23.0,11.42
fin,5.27,4.45,5.45,4.76,174.0,7.3
final,4.56,4.4,3.94,2.67,2533.0,6.58
finale,5.26,4.27,5.65,2.76,125.0,7.74
finalist,6.24,3.3,5.78,3.79,24.0,8.56
finality,4.43,4.18,4.52,1.67,20.0,12.5
finalize,5.6,4.85,5.78,2.14,26.0,10.3
finance,4.81,5.6,4.57,3.36,273.0,12.52
financial,5.0,4.55,4.82,2.52,777.0,11.16
finch,4.74,3.52,5.0,4.3,205.0,8.91
find,6.45,3.52,6.24,2.63,42379.0,5.78
finder,5.77,4.35,5.79,3.0,85.0,6.06
fine,6.5,3.86,5.78,2.61,30502.0,7.44
finesse,6.0,3.86,6.58,1.86,71.0,12.39
finger,5.8,4.15,5.32,5.0,1870.0,3.43
fingernail,5.57,3.5,4.73,4.93,68.0,4.0
fingerprint,5.25,3.29,4.56,4.96,163.0,7.56
finish,6.41,3.81,6.44,2.89,5045.0,6.32
finite,5.68,4.43,4.79,1.74,33.0,12.84
fir,5.0,3.0,5.5,4.58,22.0,8.75
fire,4.32,6.05,4.57,4.68,10990.0,3.25
firearm,4.0,4.54,5.89,4.64,76.0,9.94
fireball,3.71,6.13,4.19,4.32,76.0,8.58
firecracker,5.7,6.67,4.64,4.68,54.0,5.56
firefight,4.32,5.5,5.0,3.54,35.0,10.21
firefighter,6.6,4.94,5.14,4.87,52.0,5.16
firefly,7.05,4.85,5.27,4.9,28.0,6.39
firehouse,5.16,4.73,4.58,4.68,62.0,5.95
firelight,6.38,3.58,5.55,4.43,25.0,9.17
fireman,6.47,4.52,5.0,4.8,149.0,5.05
fireplace,5.95,5.2,5.56,4.68,259.0,7.37
firepower,5.84,5.91,6.26,3.67,98.0,9.21
fireside,6.0,4.0,5.64,3.84,20.0,9.39
firewall,4.43,4.91,4.76,3.82,55.0,13.56
firewood,6.09,4.58,5.95,4.93,77.0,6.61
fireworks,6.8,6.05,5.61,4.86,287.0,4.95
firm,5.36,4.3,6.58,3.54,1799.0,11.17
firmament,5.1,3.65,5.0,,,13.06
first,7.33,4.9,6.38,2.76,42869.0,4.39
firstborn,6.65,5.65,5.24,4.04,40.0,8.83
fiscal,4.15,4.05,5.23,1.85,39.0,14.89
fish,6.42,3.33,6.08,5.0,4258.0,4.05
fisherman,5.42,4.06,5.47,4.73,221.0,5.16
fishing,7.05,3.6,6.33,4.3,1204.0,4.72
fishing boat,6.21,3.14,5.4,5.0,0.0,
fishy,4.2,3.11,3.59,2.96,143.0,6.72
fissure,4.3,4.18,4.59,3.83,22.0,14.47
fist,2.95,4.85,4.95,4.93,375.0,4.58
fistfight,4.0,6.23,4.43,4.43,24.0,8.11
fistful,5.4,4.1,4.76,3.81,30.0,6.29
fit,6.28,4.35,6.11,2.7,2937.0,5.74
fitness,6.45,5.32,6.96,3.11,89.0,8.74
five,5.4,3.55,5.65,3.87,14558.0,4.51
fiver,5.24,4.87,4.3,,,11.86
fix,6.11,3.6,6.72,2.93,4426.0,5.0
fixable,6.84,3.48,6.52,2.59,20.0,8.32
fixation,4.11,4.11,3.73,1.67,35.0,11.33
fixer,6.39,2.67,6.7,3.54,36.0,8.0
fixture,5.05,2.9,5.5,4.17,32.0,8.53
fizz,5.38,4.57,5.94,4.62,31.0,7.06
fjord,5.53,3.19,4.2,4.36,24.0,12.41
flabby,3.39,3.39,4.81,3.3,41.0,8.9
flaccid,3.55,3.14,4.84,3.62,24.0,14.94
flag,6.1,3.74,5.56,4.79,892.0,5.33
flagpole,5.11,3.19,5.05,4.86,37.0,6.44
flagrant,4.0,4.91,4.63,2.07,29.0,11.59
flagship,5.45,3.57,5.12,3.89,49.0,13.12
flagstaff,5.5,3.9,4.97,4.41,42.0,11.33
flair,5.89,4.32,6.09,2.46,116.0,8.91
flak,4.55,4.64,5.29,,,13.56
flake,4.58,3.48,4.11,4.36,89.0,5.95
flaky,3.58,3.5,3.65,2.93,45.0,9.63
flamboyant,5.0,5.52,5.15,2.18,23.0,12.47
flame,5.9,6.6,4.64,4.67,461.0,6.25
flamethrower,5.27,6.0,4.59,4.57,29.0,8.89
flaming,4.64,5.95,4.67,3.96,130.0,7.32
flamingo,6.74,4.59,6.19,4.81,60.0,6.32
flammable,4.25,5.95,4.54,3.61,36.0,10.06
flan,5.86,3.19,6.23,4.05,86.0,12.65
flank,4.95,3.91,5.58,4.0,236.0,12.15
flannel,5.55,2.32,4.68,4.43,70.0,9.44
flap,5.74,3.45,4.58,4.14,135.0,7.21
flare,5.4,4.86,5.84,4.5,215.0,9.84
flares,4.57,5.18,5.0,4.5,72.0,11.45
flash,5.53,5.38,4.94,3.67,783.0,7.42
flashback,5.0,4.71,4.18,2.36,54.0,10.61
flashlight,6.0,4.04,6.06,5.0,302.0,5.61
flashy,4.85,5.77,5.78,2.86,97.0,7.74
flask,5.5,4.24,5.17,4.79,57.0,10.78
flat,4.43,3.04,4.0,4.07,1337.0,5.68
flatbed,4.86,3.38,5.43,4.37,21.0,9.3
flatfoot,4.33,3.1,4.32,4.07,33.0,11.11
flatten,5.24,3.52,5.53,3.86,63.0,7.05
flatter,6.1,4.61,6.0,2.14,200.0,9.53
flattered,6.32,5.14,5.95,2.15,398.0,12.44
flattering,7.14,4.92,6.36,2.25,195.0,10.14
flattery,5.74,5.1,5.91,2.71,70.0,9.61
flatulence,3.79,5.95,4.35,3.88,28.0,13.5
flaunt,4.39,4.15,5.17,2.27,50.0,10.59
flavor,6.45,4.41,6.95,3.55,255.0,6.3
flaw,4.1,3.84,4.21,2.86,155.0,9.78
flawed,3.74,4.18,5.11,2.26,63.0,9.74
flawless,7.05,4.05,6.55,2.52,80.0,9.33
flea,3.0,3.0,4.42,4.89,169.0,7.79
fleabag,3.4,4.35,4.32,3.27,25.0,8.06
flee,3.84,4.95,5.0,3.67,233.0,8.33
fleece,5.79,3.71,5.64,4.75,59.0,10.2
fleet,5.4,4.43,6.24,3.81,540.0,10.74
flesh,5.2,4.11,5.29,4.59,1125.0,8.3
fleshy,4.89,5.3,3.95,3.56,29.0,12.83
flex,5.32,4.8,6.04,3.88,50.0,8.68
flexibility,6.9,4.5,6.73,2.96,50.0,9.65
flexible,6.74,4.45,6.68,2.64,136.0,7.58
flick,5.41,4.31,6.46,3.71,257.0,7.55
flicker,5.5,5.15,5.38,3.59,35.0,10.2
flier,4.19,4.43,4.85,4.36,109.0,8.94
flight,6.11,4.2,5.33,3.9,3044.0,7.47
flighty,4.9,4.88,4.32,2.08,27.0,11.94
flimsy,4.0,3.77,4.2,3.19,42.0,9.21
flinch,4.0,5.28,4.12,3.59,58.0,7.89
fling,5.68,4.95,6.1,3.14,180.0,8.95
flip,5.6,4.62,5.32,3.97,728.0,5.11
flip flop,4.76,4.04,5.1,,,
flipper,5.84,3.05,5.15,4.26,45.0,8.58
flipping,5.33,3.95,5.0,3.44,149.0,7.58
flirt,6.73,5.93,5.8,3.26,200.0,8.68
flirtation,5.78,6.29,5.78,2.19,36.0,10.53
flirty,6.52,5.91,5.56,2.81,26.0,10.05
float,6.42,3.1,5.91,4.07,381.0,5.39
floater,4.2,3.06,4.33,4.07,50.0,9.47
flock,5.25,3.48,5.38,4.67,237.0,7.18
flood,2.76,5.31,3.16,4.62,291.0,6.58
floor,5.14,3.33,6.39,4.8,5132.0,4.44
flooring,5.32,3.0,6.0,4.43,22.0,7.84
floozy,3.95,4.89,4.38,3.42,39.0,12.18
flop,3.95,3.41,4.79,3.93,118.0,6.68
floppy,4.61,4.45,4.65,3.81,58.0,6.68
floral,7.42,2.73,5.15,3.75,37.0,8.84
florist,6.55,3.19,5.82,4.62,123.0,8.45
floss,5.0,3.48,5.69,4.41,100.0,7.06
flotation,5.6,3.61,4.71,3.81,20.0,8.26
flounder,5.32,4.0,4.32,3.92,43.0,8.8
flour,5.25,3.26,5.86,4.97,161.0,6.89
flourish,7.21,5.22,6.17,2.1,41.0,10.94
flow,5.68,3.71,5.4,3.72,701.0,7.4
flower,7.3,3.67,6.43,5.0,1161.0,3.11
flowery,7.47,3.81,5.57,2.68,34.0,8.06
flu,2.58,4.0,2.8,3.65,444.0,6.47
flue,4.45,2.86,4.32,,,10.93
fluent,6.53,3.9,5.74,1.93,59.0,10.42
fluff,6.18,3.54,6.12,3.8,72.0,4.85
fluffy,7.11,3.45,6.11,3.86,185.0,5.95
fluid,5.05,4.04,5.75,4.73,456.0,7.94
fluke,4.3,4.94,3.58,2.34,89.0,10.1
flunk,1.95,3.72,4.23,2.4,92.0,8.16
flunky,2.89,3.15,4.95,,,9.67
fluorescent,5.16,3.85,5.15,3.78,30.0,11.94
flurry,5.68,4.18,5.25,3.38,24.0,9.44
flush,4.67,4.35,5.62,3.72,478.0,5.17
flute,6.29,3.72,5.84,5.0,108.0,8.47
flutter,5.7,4.86,5.37,3.4,44.0,8.35
flux,4.17,4.18,4.79,2.54,53.0,14.5
fly,6.06,4.9,5.28,4.64,4335.0,3.05
flyboy,4.7,4.33,4.97,3.79,23.0,10.76
flyer,4.95,3.76,5.4,4.19,173.0,7.44
foam,5.25,2.9,5.1,4.85,179.0,6.15
focal,4.85,3.94,6.41,2.09,29.0,10.0
focus,6.48,4.45,6.84,2.35,1499.0,8.32
foe,3.15,4.71,3.82,2.96,94.0,9.95
fog,5.77,3.67,4.05,4.66,482.0,6.21
foggy,4.65,3.68,4.21,3.8,66.0,7.11
foil,4.57,3.7,5.04,4.48,62.0,7.57
fold,5.19,3.0,6.67,4.13,440.0,4.95
folder,5.7,2.33,5.42,4.93,83.0,8.21
foliage,5.68,4.25,6.21,4.67,27.0,10.63
folk,6.17,2.45,6.0,3.57,365.0,8.19
folklore,6.32,4.1,4.85,2.5,45.0,9.56
follow,4.82,3.76,4.81,3.26,6283.0,5.11
follower,4.86,3.4,4.58,3.15,34.0,7.79
folly,4.11,4.56,3.65,1.92,74.0,10.67
fond,6.79,3.26,6.42,1.68,629.0,9.21
fondle,4.32,5.18,4.88,3.42,25.0,13.0
fondness,7.68,3.55,6.82,1.66,26.0,10.5
fondue,6.0,3.71,6.5,4.79,47.0,10.78
font,5.09,3.38,6.45,3.93,48.0,11.5
food,7.52,4.69,6.08,4.8,7876.0,3.25
fool,3.56,4.86,2.94,3.19,4556.0,7.56
foolhardy,3.86,5.05,4.71,1.69,21.0,11.58
foolish,3.0,4.57,3.9,1.84,893.0,8.94
foolishness,4.1,4.6,4.26,2.33,106.0,8.95
foolproof,5.82,4.36,6.0,1.79,94.0,9.71
foot,4.68,2.77,5.97,4.9,3311.0,3.44
foot stool,5.27,3.41,5.37,,,
footage,5.33,3.12,5.71,3.42,422.0,9.41
football,6.52,5.65,5.42,4.73,1914.0,4.84
foothold,5.2,3.83,5.1,4.03,29.0,11.16
footing,5.13,2.95,5.57,3.57,52.0,9.05
footlocker,5.05,4.25,5.27,4.58,41.0,10.95
footloose,6.05,4.62,5.38,2.15,42.0,11.55
footprint,6.0,2.96,6.37,4.37,55.0,5.78
footwear,6.43,4.0,5.18,4.66,40.0,7.74
footwork,5.74,3.96,5.58,3.32,47.0,10.63
forbid,2.82,4.85,4.48,1.96,436.0,8.47
forbidding,3.82,5.05,3.57,2.22,20.0,9.63
force,4.17,5.35,4.22,3.0,3604.0,6.0
forceful,3.7,5.36,5.53,2.07,44.0,7.89
forceps,3.8,4.57,5.86,4.79,34.0,13.74
forces,5.58,4.33,5.48,2.69,1064.0,7.56
ford,5.79,2.85,6.0,4.19,587.0,8.1
fore,5.05,4.32,5.52,2.52,135.0,12.17
forearm,5.58,3.75,6.35,4.69,50.0,8.65
foreboding,3.53,5.3,3.48,1.54,23.0,12.29
forecast,4.89,3.7,4.73,2.78,96.0,9.05
foreclose,2.0,6.0,2.92,3.04,34.0,13.5
foreclosure,1.75,5.9,3.08,3.3,26.0,15.47
forefront,4.95,4.69,6.08,3.0,20.0,11.76
forego,4.89,4.33,5.32,2.37,29.0,11.62
foregone,5.06,3.32,4.16,1.52,21.0,11.82
foreground,5.47,2.68,5.11,2.93,22.0,10.85
forehead,5.04,3.14,6.5,4.9,400.0,5.58
foreign,4.86,5.43,4.79,2.5,1137.0,8.74
foreigner,4.68,3.24,4.33,3.32,150.0,10.39
foreman,4.89,3.55,5.08,4.37,283.0,11.45
foremost,5.27,3.81,6.04,2.0,86.0,11.78
forensic,4.42,5.06,4.75,2.62,200.0,13.3
forensics,5.86,4.36,5.14,2.13,192.0,14.11
foreplay,6.4,6.71,5.92,3.22,128.0,14.4
foresee,5.67,3.64,6.05,2.08,50.0,10.95
foresight,5.79,3.5,6.13,1.79,38.0,10.78
forest,6.68,4.44,5.71,4.76,963.0,6.28
forevermore,6.48,4.3,5.0,1.69,27.0,9.33
forfeit,3.68,4.74,4.43,2.63,158.0,10.4
forge,5.0,4.16,5.55,4.04,166.0,9.8
forger,3.95,5.05,4.71,3.71,31.0,11.0
forgery,2.6,4.86,3.4,3.03,100.0,10.74
forget,3.73,4.43,3.5,2.04,14130.0,4.78
forgetful,3.59,4.45,4.45,2.28,38.0,7.84
forgetfulness,3.8,4.55,4.19,1.82,27.0,7.47
forgive,7.06,3.62,6.44,1.92,3917.0,5.44
forgiveness,6.86,4.04,6.26,1.44,405.0,6.68
forgiving,6.74,3.95,6.45,1.78,127.0,7.28
fork,5.47,3.35,6.02,4.9,450.0,3.63
forklift,4.74,4.17,5.0,4.79,49.0,9.11
forlorn,3.95,4.08,3.73,1.76,21.0,11.29
form,5.64,3.85,6.47,3.13,2180.0,7.58
formal,5.37,4.48,5.61,2.7,424.0,10.5
formaldehyde,2.9,3.85,3.59,4.61,34.0,11.39
formality,4.9,3.45,5.68,1.67,110.0,12.59
format,5.19,2.73,4.81,2.9,54.0,11.47
formation,5.58,4.0,5.0,3.23,203.0,9.67
formidable,5.52,3.96,5.56,1.76,87.0,11.29
formula,5.3,3.61,4.73,4.11,401.0,10.47
formulate,5.22,2.64,5.46,2.59,30.0,10.75
fornicate,4.67,5.43,5.62,3.46,25.0,13.44
fornication,5.95,6.65,6.59,3.66,44.0,12.35
forsake,3.58,3.32,4.05,1.96,46.0,10.86
forte,5.7,3.57,6.42,2.39,30.0,12.72
forthcoming,5.1,4.09,6.0,2.03,70.0,12.72
forthright,6.3,3.43,5.8,1.53,34.0,12.35
fortitude,6.26,4.59,6.75,2.04,33.0,12.0
fortnight,5.5,3.05,5.56,2.71,46.0,10.53
fortress,4.82,3.77,6.55,4.8,172.0,10.05
fortuitous,6.55,5.05,6.12,1.67,20.0,14.19
fortunate,7.33,3.81,5.83,2.04,419.0,10.17
fortune,7.24,5.8,6.68,2.9,1518.0,9.05
forty,5.0,3.32,5.89,4.14,539.0,6.53
forum,5.05,4.47,5.48,4.0,104.0,12.52
forwarding,5.23,3.73,6.0,2.41,56.0,11.78
fossil,6.0,4.1,4.75,4.9,79.0,7.5
foul,3.0,4.09,4.11,2.4,738.0,7.75
foundation,5.86,2.41,6.41,3.74,740.0,10.94
founder,5.45,3.95,5.69,3.66,108.0,9.5
founding,5.42,2.75,5.36,2.3,89.0,10.42
foundry,5.32,3.23,4.96,,,11.6
fountain,6.26,3.1,5.9,4.77,352.0,7.17
four,5.26,3.39,5.65,3.37,13045.0,4.93
foursome,4.14,5.17,5.29,4.0,33.0,12.24
fourteen,5.42,3.62,5.32,3.04,333.0,
fowl,4.57,4.05,5.8,4.64,35.0,7.89
fox,5.52,4.36,5.5,4.97,1102.0,5.02
foxhole,5.35,5.0,5.1,4.5,48.0,11.06
foxtrot,5.83,5.0,5.54,4.25,55.0,12.39
foxy,6.0,4.75,5.3,2.19,156.0,10.11
foyer,5.95,3.55,5.54,4.52,45.0,11.68
fraction,5.21,3.95,5.09,3.1,104.0,10.06
fracture,3.62,5.27,4.2,4.03,264.0,9.8
fragile,4.67,3.05,4.0,2.86,262.0,8.28
fragment,4.59,3.55,4.8,4.1,96.0,11.53
fragrance,6.67,4.72,6.56,4.03,60.0,9.63
fragrant,7.05,4.85,6.0,3.35,36.0,9.58
frail,3.55,2.65,3.04,2.55,81.0,9.64
frame,5.32,4.04,5.78,4.3,719.0,7.67
framework,5.74,3.11,5.77,3.24,20.0,8.83
franc,5.21,3.71,5.12,,,12.81
franchise,5.0,4.1,5.48,3.07,121.0,12.58
frantic,3.79,5.39,3.59,2.1,116.0,10.67
frat,4.29,3.64,4.63,3.3,160.0,14.8
fraternity,4.89,4.64,5.41,2.46,171.0,12.95
fraud,2.05,5.18,3.48,1.68,512.0,10.11
fraught,2.94,4.32,4.05,2.22,35.0,12.22
fray,4.26,4.5,4.12,3.18,48.0,11.47
frayed,4.05,3.2,4.6,3.79,23.0,10.37
freak,3.73,6.3,5.11,2.93,1874.0,8.02
freakish,3.71,5.12,4.86,2.17,25.0,10.74
freaky,4.26,6.05,4.21,2.0,255.0,7.6
freckle,5.53,3.36,4.43,4.56,30.0,5.61
free,8.25,5.38,6.5,2.04,9054.0,5.21
freebie,7.3,6.1,6.05,2.67,41.0,10.79
freedom,7.72,5.67,7.37,2.34,1688.0,7.05
freelance,6.05,4.2,6.0,1.92,108.0,13.84
freelancer,5.89,4.05,5.96,3.08,39.0,13.58
freeman,6.62,4.42,6.41,3.32,129.0,11.38
freestyle,6.42,5.45,6.26,2.73,56.0,11.06
freeway,5.32,4.67,4.96,4.7,282.0,10.32
freeze,4.64,4.0,5.89,3.96,1640.0,4.89
freezer,5.32,2.7,5.12,4.87,263.0,4.63
freezing,3.33,5.84,4.16,4.04,680.0,6.05
freight,4.21,3.78,4.8,4.21,196.0,10.56
freighter,4.83,3.7,5.16,4.42,109.0,10.47
french horn,5.95,4.05,5.83,5.0,0.0,
frenzy,4.2,5.96,4.0,2.31,103.0,9.53
frequency,5.19,4.87,5.62,2.69,337.0,9.79
frequent,5.57,4.05,5.88,2.25,140.0,6.94
fresh,6.67,2.35,6.28,1.97,2780.0,6.22
freshen,6.56,4.68,7.25,2.17,131.0,8.84
freshener,5.71,4.17,6.19,3.82,20.0,8.47
freshman,5.05,3.82,3.78,3.79,375.0,10.45
freshness,7.43,4.1,6.29,2.12,29.0,9.44
freshwater,7.29,2.82,5.76,4.29,35.0,7.72
fret,3.73,5.89,4.24,2.65,95.0,11.11
friar,5.2,3.26,5.62,3.88,88.0,9.22
friction,4.0,5.05,4.24,3.0,63.0,9.8
fridge,6.29,4.6,5.69,4.92,502.0,4.67
fried,5.82,4.09,6.05,4.11,518.0,7.47
friend,6.79,4.29,6.31,3.07,21384.0,3.57
friendless,3.15,4.18,4.63,2.3,24.0,7.95
friendly,7.84,4.27,7.6,2.32,1328.0,4.5
friendship,7.76,5.2,6.95,2.39,1164.0,5.62
fright,3.26,5.0,3.95,2.52,141.0,7.53
frighten,2.95,4.85,2.71,3.07,324.0,8.83
frightened,2.45,5.61,3.05,2.27,1186.0,5.65
frightening,2.58,4.73,3.39,2.15,294.0,6.55
frightful,2.95,5.2,3.55,2.21,59.0,5.83
frigid,3.77,3.87,5.61,3.28,71.0,9.84
fringe,5.16,4.52,4.48,3.38,85.0,9.61
frisbee,6.35,3.33,6.14,4.7,95.0,5.5
frisk,4.8,6.6,4.83,2.79,79.0,10.16
frisky,6.57,6.05,6.23,2.4,86.0,12.17
frivolous,4.65,4.22,4.27,2.43,61.0,10.67
frock,4.67,4.48,4.71,,,9.65
frog,5.84,4.07,5.5,5.0,603.0,4.32
froggy,5.71,3.36,4.78,,,6.89
frolic,6.05,4.17,6.05,3.04,42.0,8.5
frontal,5.95,4.09,6.0,3.38,96.0,10.89
frontier,6.53,3.95,4.32,3.3,167.0,8.86
