word,aoa,valence,arousal,dominance,concreteness
zoiets,8.17,,,,1.2
wijsje,8.17,,,,3.14
dooi,8.17,4.09,3.03,3.39,3.53
lelie,8.17,5.23,2.95,3.38,4.8
orgel,8.17,4.23,3.62,3.83,4.67
zeilen,8.17,4.89,4.97,4.08,4.4
lotje,8.17,,,,3.8
badminton,8.17,,,,4.53
zonde,8.17,2.48,4.11,3.88,1.93
milkshake,8.18,,,,4.6
kruiden,8.18,4.83,3.36,4.05,4.47
brokkelen,8.18,,,,3.87
brombeer,8.18,,,,3.47
doodlopen,8.18,,,,2.8
klever,8.18,,,,4.0
opraken,8.18,,,,2.43
varkensstal,8.18,,,,4.2
verleggen,8.18,,,,3.07
vloeren,8.18,,,,4.13
waardoor,8.18,,,,1.47
winden,8.18,,,,3.53
zothuis,8.18,,,,3.4
zwieren,8.18,,,,3.93
kiek,8.18,,,,
dij,8.18,4.17,3.56,3.83,4.87
kolom,8.18,4.02,3.39,3.83,4.0
jeugd,8.18,5.25,5.03,4.09,2.27
wees,8.18,2.39,3.56,3.0,3.13
hop,8.19,4.15,3.83,3.87,4.36
koala,8.19,,,,4.87
rijwiel,8.19,,,,4.33
huppen,8.19,,,,3.91
room,8.19,4.45,3.22,3.53,4.6
frietketel,8.19,,,,4.8
trien,8.19,,,,2.8
fazant,8.19,4.44,4.02,3.56,4.8
stik,8.2,,,,
gelei,8.2,4.14,3.03,3.23,4.73
angstaanjagend,8.2,,,,2.4
bespreken,8.2,,,,2.6
bijhoren,8.2,,,,1.93
bruikbaar,8.2,,,,1.71
daarvandaan,8.2,,,,1.2
dagopvang,8.2,,,,3.33
dichtgooien,8.2,,,,3.33
duidelijkheid,8.2,,,,1.93
frigobox,8.2,,,,4.67
hieromheen,8.2,,,,1.27
kopstoot,8.2,,,,4.2
kussensloop,8.2,,,,4.87
lakken,8.2,,,,3.87
lezeres,8.2,,,,3.47
maskolf,8.2,,,,4.93
mensenvlees,8.2,,,,4.33
messcherp,8.2,,,,3.53
mijnheer,8.2,,,,3.0
neusdruppels,8.2,,,,4.6
noteren,8.2,,,,3.73
onbewoonbaar,8.2,,,,3.13
openbreken,8.2,,,,3.47
oprijden,8.2,,,,3.73
opvoeding,8.2,,,,2.13
ouderdom,8.2,,,,2.67
overwinnen,8.2,,,,2.6
rijweg,8.2,,,,4.2
rotbeest,8.2,,,,2.47
tophit,8.2,,,,2.53
vastzetten,8.2,,,,3.07
verbeelden,8.2,,,,1.87
verdoven,8.2,,,,3.47
verfrissen,8.2,,,,2.73
verschuiving,8.2,,,,3.36
verzorgster,8.2,,,,4.0
vochtig,8.2,,,,3.71
voelspriet,8.2,,,,4.4
waaier,8.2,,,,4.53
waarnaar,8.2,,,,1.8
walkietalkie,8.2,,,,4.53
waterig,8.2,,,,3.27
vijzen,8.2,,,,4.27
koeren,8.2,,,,2.67
ananassap,8.2,,,,
bejaardentehuis,8.2,,,,
boekenplank,8.2,,,,
nylonkousen,8.2,,,,
onthaalmoeder,8.2,,,,
orang-oetan,8.2,,,,
schoorsteenveger,8.2,,,,
voetsteuntje,8.2,,,,
waterslang,8.2,,,,
schijt,8.2,2.03,3.81,4.33,3.87
schreef,8.2,3.68,3.69,3.97,1.87
sletsen,8.2,,,,
pierewiet,8.2,,,,
last,8.2,2.66,4.2,4.17,2.13
gewei,8.21,,,,4.73
koers,8.21,4.23,4.61,4.29,3.4
steun,8.21,5.41,4.0,4.7,2.33
badmeester,8.21,,,,4.07
beheksen,8.21,,,,2.2
ontdooien,8.21,,,,3.4
zeldzaam,8.21,,,,1.87
veranda,8.21,,,,4.33
bedroefd,8.21,2.28,3.36,3.14,2.36
boeket,8.21,5.27,3.22,3.72,4.53
ernstig,8.21,3.05,4.31,5.36,2.13
gas,8.21,3.44,3.83,4.34,3.33
gas,8.21,3.44,3.83,4.34,3.4
gas,8.21,3.44,3.83,4.34,3.4
gas,8.21,3.44,3.83,4.34,3.67
gas,8.21,3.44,3.83,4.34,3.73
gas,8.21,3.44,3.83,4.34,3.93
gewapend,8.21,2.36,5.53,5.56,3.4
kreeft,8.21,4.27,3.97,3.91,4.87
kruisen,8.21,4.03,4.52,4.11,3.73
lef,8.21,5.17,5.39,5.47,2.0
ongerust,8.21,2.59,4.92,3.39,2.0
orkest,8.21,4.84,5.08,4.25,4.53
raspen,8.21,3.8,4.73,3.88,4.13
rillen,8.21,2.83,4.61,3.42,4.0
sieraad,8.21,5.36,3.42,4.3,4.2
treurig,8.21,2.22,3.27,3.11,2.47
waken,8.21,4.33,4.38,4.56,3.27
eb,8.21,4.25,3.59,3.5,3.73
koersen,8.21,4.22,5.36,4.45,4.07
slank,8.21,5.23,3.8,4.21,3.47
splitsen,8.21,3.36,4.62,3.91,3.93
vrolijkheid,8.21,6.28,5.44,4.95,2.4
stronk,8.21,4.11,2.92,4.33,4.67
hit,8.21,4.87,4.79,4.81,3.13
kurken,8.21,4.14,3.84,3.9,4.47
hulpje,8.22,,,,3.07
dauw,8.22,4.45,2.97,3.35,3.6
knuppel,8.22,2.94,4.7,5.08,4.6
afbraak,8.22,,,,3.8
aflezen,8.22,,,,3.47
arresteren,8.22,,,,3.6
autosnelweg,8.22,,,,4.2
belachelijk,8.22,,,,1.67
bierbak,8.22,,,,4.73
binnenrijden,8.22,,,,3.53
binnenvallen,8.22,,,,3.6
blaasinstrument,8.22,,,,4.27
bobbelig,8.22,,,,4.0
breiwerk,8.22,,,,4.13
bubbelbad,8.22,,,,4.6
buurtwinkel,8.22,,,,3.67
centrum,8.22,,,,2.8
doodeng,8.22,,,,2.33
dropje,8.22,,,,4.53
filmster,8.22,,,,3.8
flauwerd,8.22,,,,1.87
gebruik,8.22,,,,1.93
gevangenschap,8.22,,,,3.07
gezinsleven,8.22,,,,2.27
graver,8.22,,,,4.0
hangmat,8.22,,,,4.8
heiligen,8.22,,,,1.67
heldin,8.22,,,,2.53
hondenriem,8.22,,,,4.8
ingaan,8.22,,,,2.67
kassier,8.22,,,,3.93
kattenvoer,8.22,,,,4.53
krantenbericht,8.22,,,,4.13
landbouw,8.22,,,,3.13
langslopen,8.22,,,,3.13
leeslamp,8.22,,,,4.4
liefdevol,8.22,,,,1.93
loskrijgen,8.22,,,,3.27
mesthoop,8.22,,,,4.27
misser,8.22,,,,3.4
noodgeval,8.22,,,,1.93
notitieboekje,8.22,,,,4.6
omhakken,8.22,,,,3.87
onderstrepen,8.22,,,,4.0
onderwijzeres,8.22,,,,4.2
ondeugend,8.22,,,,1.87
opgave,8.22,,,,3.13
opschieten,8.22,,,,2.53
opstijgen,8.22,,,,3.47
pinken,8.22,,,,4.13
plaksel,8.22,,,,3.93
radiozender,8.22,,,,3.53
regenscherm,8.22,,,,4.53
rilling,8.22,,,,3.93
rimpels,8.22,,,,4.4
rondleiding,8.22,,,,3.0
rookwolk,8.22,,,,4.73
schattebout,8.22,,,,2.0
scheldnaam,8.22,,,,2.67
snijwond,8.22,,,,4.4
spierbal,8.22,,,,3.93
spoorlijn,8.22,,,,4.13
sterfelijk,8.22,,,,2.13
sterrenhemel,8.22,,,,4.27
stijgend,8.22,,,,3.33
stoffig,8.22,,,,3.87
tandvlees,8.22,,,,4.8
tankstation,8.22,,,,4.47
tennisschoen,8.22,,,,4.47
theater,8.22,,,,3.6
treinreis,8.22,,,,4.13
treiteren,8.22,,,,2.87
uitgelezen,8.22,,,,2.2
uithalen,8.22,,,,2.67
uitproberen,8.22,,,,2.27
uitstrooien,8.22,,,,3.67
vastdraaien,8.22,,,,3.6
vechtersbaas,8.22,,,,3.07
verbazend,8.22,,,,1.93
verdoving,8.22,,,,3.47
verlagen,8.22,,,,3.33
verwelken,8.22,,,,3.33
verzinsel,8.22,,,,1.93
videofilm,8.22,,,,4.67
waarschuwing,8.22,,,,2.47
waaruit,8.22,,,,1.4
woonst,8.22,,,,3.87
zeebodem,8.22,,,,4.53
zoeterig,8.22,,,,3.07
stel,8.22,5.2,3.98,4.31,3.27
stort,8.22,2.91,3.88,4.02,4.07
schok,8.22,2.73,5.39,4.97,3.33
moord,8.23,1.38,6.19,5.45,3.53
neerslag,8.23,,,,4.47
piel,8.23,,,,5.0
poeperd,8.23,,,,2.56
schellen,8.23,,,,3.15
stortbui,8.23,2.98,5.58,4.92,4.13
floepen,8.24,,,,2.67
geleerd,8.24,,,,1.8
nachthemd,8.24,,,,4.73
rondpunt,8.24,,,,4.53
hoorn,8.24,3.83,3.81,4.5,4.8
prut,8.24,,,,3.0
graaf,8.24,4.08,3.91,5.02,3.13
gympjes,8.24,,,,4.27
stiefbroer,8.24,,,,3.27
tarwe,8.24,4.34,3.22,3.52,4.67
schedel,8.24,3.5,3.58,4.48,4.8
krekel,8.24,4.02,4.06,3.11,5.0
appartement,8.24,,,,4.13
beenderen,8.24,,,,4.33
klem,8.25,2.97,3.76,4.48,4.4
aanspannen,8.25,,,,2.93
astronaut,8.25,,,,4.33
buitenshuis,8.25,,,,3.13
dambord,8.25,,,,4.73
doorbrengen,8.25,,,,2.0
doorpraten,8.25,,,,2.53
dotje,8.25,,,,4.67
gehandicapte,8.25,,,,3.87
gymlokaal,8.25,,,,4.13
hendel,8.25,,,,4.53
inschrijving,8.25,,,,2.67
inwrijven,8.25,,,,3.67
kookboek,8.25,,,,4.73
leeghalen,8.25,,,,3.67
mesten,8.25,,,,4.0
onbedoeld,8.25,,,,1.53
ontmoeten,8.25,,,,2.6
punaise,8.25,,,,4.8
schaakstuk,8.25,,,,4.6
schriftelijk,8.25,,,,3.0
surfer,8.25,,,,4.0
uitvinder,8.25,,,,2.93
uniform,8.25,,,,4.4
verschonen,8.25,,,,3.87
vervolg,8.25,,,,1.47
voeder,8.25,,,,4.23
volschenken,8.25,,,,4.2
zijweg,8.25,,,,3.87
zilverkleurig,8.25,,,,3.73
zowat,8.25,,,,1.13
laweit,8.25,,,,3.15
omstebeurt,8.25,,,,2.23
tombola,8.25,,,,3.33
scheurmand,8.25,,,,4.11
bazin,8.25,,,,2.87
schepper,8.25,,,,2.67
twijg,8.25,4.18,3.19,2.95,4.29
onderzetter,8.26,,,,4.27
eenhoorn,8.26,,,,4.2
pier,8.26,4.11,3.41,3.2,4.73
holte,8.26,,,,4.07
beindigen,8.26,,,,2.53
doodongerust,8.26,,,,2.0
kwekken,8.26,,,,2.79
rodehond,8.26,,,,3.33
truck,8.27,3.75,4.38,5.05,4.67
dewelke,8.27,,,,1.33
kruik,8.27,4.17,3.17,3.58,4.8
kots,8.27,1.84,4.27,3.89,4.27
halfzus,8.27,,,,2.87
pasje,8.27,,,,3.6
bedelaar,8.28,2.45,3.42,2.34,3.6
doodsbang,8.28,1.53,5.53,3.56,2.13
eenvoudig,8.28,4.84,2.81,3.78,1.67
glanzen,8.28,5.22,4.14,4.48,3.6
gluren,8.28,2.95,4.53,3.5,3.27
hof,8.28,4.52,3.09,4.17,3.27
luiden,8.28,4.17,4.98,4.19,3.2
melodie,8.28,5.39,4.25,4.22,3.4
pikant,8.28,4.61,5.36,5.17,4.13
roofdier,8.28,3.52,5.7,5.58,3.6
schade,8.28,2.48,4.41,4.17,3.4
smeken,8.28,2.73,4.66,2.69,2.73
talent,8.28,6.09,4.59,5.14,1.67
vrezen,8.28,2.66,4.92,3.77,2.53
vrijheid,8.28,6.3,4.66,5.66,1.47
dek,8.28,4.17,3.39,3.98,4.33
hevig,8.28,4.02,5.84,5.34,2.4
ree,8.28,4.67,4.3,3.9,4.93
braadpan,8.28,,,,4.87
aanwezigheid,8.28,,,,2.6
absoluut,8.28,,,,1.33
afbrokkelen,8.28,,,,3.67
afspoelen,8.28,,,,4.13
afwasborstel,8.28,,,,4.6
armleuning,8.28,,,,4.67
belofte,8.28,,,,1.93
bergbeklimmen,8.28,,,,4.07
beroemdheid,8.28,,,,2.67
bijleggen,8.28,,,,2.07
bloedrood,8.28,,,,4.6
boomschors,8.28,,,,4.8
cong,8.28,,,,1.8
dagdromen,8.28,,,,2.29
doodnormaal,8.28,,,,1.8
doodop,8.28,,,,2.4
drukte,8.28,,,,3.13
etentje,8.28,,,,4.0
flikken,8.28,,,,3.27
gasfornuis,8.28,,,,4.4
gebogen,8.28,,,,3.6
goedgezind,8.28,,,,2.07
groenteboer,8.28,,,,3.67
haarlok,8.28,,,,4.4
harten,8.28,,,,3.8
heenweg,8.28,,,,2.73
herfstachtig,8.28,,,,2.6
heropenen,8.28,,,,2.93
kalmeren,8.28,,,,2.93
kampen,8.28,,,,2.46
kanonskogel,8.28,,,,4.6
kerngezond,8.28,,,,2.47
kliniek,8.28,,,,3.87
knoeier,8.28,,,,2.93
linksom,8.28,,,,2.67
lospeuteren,8.28,,,,3.27
lunchtijd,8.28,,,,3.2
mammoet,8.28,,,,4.47
meedenken,8.28,,,,2.0
mompelen,8.28,,,,3.8
onderdoor,8.28,,,,1.8
ontvoeren,8.28,,,,3.6
opstarten,8.28,,,,2.73
overdreven,8.28,,,,2.07
overhouden,8.28,,,,2.6
overlopen,8.28,,,,2.8
overnachten,8.28,,,,3.4
patint,8.28,,,,3.93
pindanoot,8.28,,,,4.67
rechtsom,8.28,,,,2.33
salopette,8.28,,,,4.62
samenkomen,8.28,,,,3.07
samenleven,8.28,,,,2.27
schaakspel,8.28,,,,4.67
scheerapparaat,8.28,,,,4.87
scherpen,8.28,,,,3.57
slijmerd,8.28,,,,2.27
snoeien,8.28,,,,4.4
startsein,8.28,,,,3.93
sukkelaar,8.28,,,,2.33
supporter,8.28,,,,3.33
terugroepen,8.28,,,,3.27
thuisbrengen,8.28,,,,2.6
toegaan,8.28,,,,2.67
toontje,8.28,,,,3.0
uiterlijk,8.28,,,,3.27
uitlenen,8.28,,,,2.93
verandering,8.28,,,,1.93
verdragen,8.28,,,,2.07
vergiftiging,8.28,,,,2.93
verhogen,8.28,,,,2.67
verkreukelen,8.28,,,,3.33
verspillen,8.28,,,,2.47
verzot,8.28,,,,1.87
verzwijgen,8.28,,,,2.33
vliegeren,8.28,,,,3.6
voelbaar,8.28,,,,2.6
vogelverschrikker,8.28,,,,4.73
waarachter,8.28,,,,1.2
waarop,8.28,,,,1.47
watertoren,8.28,,,,4.67
wegbrengen,8.28,,,,3.4
wegtrekken,8.28,,,,3.53
weken,8.28,,,,2.67
wijsneus,8.28,,,,2.6
windmolen,8.28,,,,4.67
wittekool,8.28,,,,4.67
zapper,8.28,,,,4.43
zeelucht,8.28,,,,4.07
wandelwagen,8.28,,,,4.29
tamboerijn,8.28,,,,4.6
droefheid,8.28,2.16,3.22,3.13,2.07
knaap,8.28,4.31,4.13,3.36,3.33
baron,8.28,4.06,3.68,5.16,3.2
krijs,8.28,,,,
blren,8.29,,,,3.17
knol,8.29,3.72,3.27,3.68,4.8
kakkerlak,8.29,2.23,4.3,3.52,4.8
vloot,8.29,4.22,4.23,4.59,4.47
kassabon,8.29,,,,4.33
koortsig,8.29,,,,2.67
ongelijk,8.29,,,,1.53
pistache,8.29,,,,4.47
pompier,8.29,,,,4.0
straathoek,8.29,,,,4.4
vuurpijl,8.29,,,,4.4
aanrennen,8.29,,,,2.87
luster,8.29,,,,4.73
triangel,8.29,,,,4.73
nectarine,8.3,,,,4.8
bedoeling,8.3,,,,1.53
bejaard,8.3,,,,3.2
betekenis,8.3,,,,1.6
bovendien,8.3,,,,1.2
drieling,8.3,,,,4.0
ervandoor,8.3,,,,1.6
galopperen,8.3,,,,4.0
gereedmaken,8.3,,,,2.87
hoeveelheid,8.3,,,,1.93
koffieklets,8.3,,,,2.4
lastpost,8.3,,,,3.0
leegstaan,8.3,,,,2.8
opruiming,8.3,,,,2.87
pillendoos,8.3,,,,4.6
rijkaard,8.3,,,,2.73
strompelen,8.3,,,,3.47
tegenwind,8.3,,,,3.53
verkleuren,8.3,,,,3.27
vleeswaren,8.3,,,,4.53
vloeistof,8.3,,,,4.2
winkeljuffrouw,8.3,,,,3.8
zonnebrand,8.3,,,,4.13
bordeaux,8.3,,,,
cafebaas,8.3,,,,
damesschoenen,8.3,,,,
keelontsteking,8.3,,,,
kruiswoordraadsel,8.3,,,,
skateboard,8.3,,,,
vergeet-mij-nietje,8.3,,,,
plak,8.3,3.61,3.31,3.69,4.0
zijkastje,8.3,,,,
dader,8.31,,,,2.6
spion,8.31,3.13,5.0,4.5,3.33
hoever,8.31,,,,1.31
zulk,8.31,,,,1.43
cement,8.31,3.86,2.97,5.03,4.67
kantoor,8.31,3.94,3.95,4.05,4.47
druktemaker,8.32,,,,2.8
lading,8.32,,,,3.4
misdoen,8.32,,,,2.13
samenwerking,8.32,,,,2.47
stopbord,8.32,,,,4.87
verstandig,8.32,,,,2.07
snijplank,8.32,,,,4.53
heup,8.32,4.06,3.7,3.84,4.53
bar,8.32,4.63,4.48,4.09,4.4
gever,8.32,,,,2.69
spoed,8.32,2.94,6.02,4.75,2.8
inkomhal,8.32,,,,4.4
zalm,8.32,4.48,4.11,3.61,4.93
inkom,8.32,,,,3.33
cour,8.32,,,,
roofvogel,8.33,,,,4.07
nachtegaal,8.33,,,,4.8
vink,8.33,4.24,4.02,3.66,4.73
nood,8.33,2.55,5.19,4.28,2.13
opgewekt,8.33,6.08,5.52,4.84,1.73
aanraking,8.33,,,,4.0
aanstippen,8.33,,,,3.47
achtereen,8.33,,,,1.93
achterhoofd,8.33,,,,4.47
achterzak,8.33,,,,4.47
afstapje,8.33,,,,4.07
afwerken,8.33,,,,2.8
aperitief,8.33,,,,3.87
bedrieger,8.33,,,,2.33
begeleider,8.33,,,,3.07
benzinepomp,8.33,,,,4.6
beschimmeld,8.33,,,,3.47
besmeren,8.33,,,,3.6
bezweet,8.33,,,,4.33
bijles,8.33,,,,2.47
bloedworst,8.33,,,,4.4
blozend,8.33,,,,3.67
daartoe,8.33,,,,1.2
dertiger,8.33,,,,2.73
dichthouden,8.33,,,,3.13
donzig,8.33,,,,3.4
doorwerken,8.33,,,,2.47
doorzagen,8.33,,,,3.87
elektrisch,8.33,,,,3.13
erlangs,8.33,,,,1.87
etenswaar,8.33,,,,3.8
familielid,8.33,,,,2.93
filmmaker,8.33,,,,3.73
gekuch,8.33,,,,4.13
gelijkenis,8.33,,,,2.2
gelukwens,8.33,,,,2.27
genieten,8.33,,,,2.67
geraken,8.33,,,,2.33
hierbij,8.33,,,,1.4
hoewel,8.33,,,,1.13
hoofdpersoon,8.33,,,,2.47
hoofdrol,8.33,,,,3.07
houtvuur,8.33,,,,4.47
huisbezoek,8.33,,,,3.2
ijsberg,8.33,,,,4.73
inhouden,8.33,,,,2.4
inruilen,8.33,,,,3.07
inzamelen,8.33,,,,3.4
juwelendief,8.33,,,,3.73
kabelbaan,8.33,,,,4.53
keukengerief,8.33,,,,4.33
kippenren,8.33,,,,4.86
kribbe,8.33,,,,4.31
lastpak,8.33,,,,2.2
leegte,8.33,,,,2.53
menselijk,8.33,,,,1.6
miljonair,8.33,,,,2.6
minstens,8.33,,,,1.0
mislopen,8.33,,,,1.93
neerstorten,8.33,,,,4.27
nietsnut,8.33,,,,1.93
noodweer,8.33,,,,3.13
omschrijving,8.33,,,,2.0
onthoofden,8.33,,,,3.67
opbellen,8.33,,,,3.27
opgroeien,8.33,,,,2.87
oppompen,8.33,,,,3.53
overdrijven,8.33,,,,2.4
overeenkomen,8.33,,,,1.93
overledene,8.33,,,,2.87
panikeren,8.33,,,,2.67
papperig,8.33,,,,3.27
popster,8.33,,,,3.4
portret,8.33,,,,4.13
ravotten,8.33,,,,3.6
rommelen,8.33,,,,3.4
rotdag,8.33,,,,2.2
ruimtevaarder,8.33,,,,4.07
samenzijn,8.33,,,,2.53
schuimen,8.33,,,,4.13
slijmerig,8.33,,,,3.27
slipje,8.33,,,,4.6
spoedgeval,8.33,,,,3.0
sportveld,8.33,,,,4.53
spreekbeurt,8.33,,,,3.2
taalles,8.33,,,,3.33
terugkijken,8.33,,,,2.73
terugpakken,8.33,,,,3.0
thuiskomst,8.33,,,,2.6
tienduizend,8.33,,,,3.2
tijdmachine,8.33,,,,3.0
touwladder,8.33,,,,4.67
troetelnaam,8.33,,,,2.07
typemachine,8.33,,,,4.8
uiteinde,8.33,,,,2.53
uitspelen,8.33,,,,2.67
uitspoelen,8.33,,,,3.67
uitwerpselen,8.33,,,,4.47
vandaar,8.33,,,,1.13
verdrinking,8.33,,,,3.53
verplicht,8.33,,,,1.67
vervoeren,8.33,,,,3.73
verzachten,8.33,,,,2.47
viespeuk,8.33,,,,2.73
vijfhoek,8.33,,,,4.4
vingerhoed,8.33,,,,4.53
voorzeggen,8.33,,,,3.47
waarzegger,8.33,,,,3.27
wegdragen,8.33,,,,3.29
weglaten,8.33,,,,2.8
wegraken,8.33,,,,2.47
wegsturen,8.33,,,,2.93
wegzakken,8.33,,,,3.47
zuinig,8.33,,,,2.27
broekventje,8.33,,,,3.14
deurkruk,8.33,,,,4.53
heertje,8.33,,,,3.5
pikkel,8.33,,,,4.38
seraf,8.33,,,,1.0
scherf,8.33,3.14,3.98,4.02,4.71
steppen,8.33,4.36,4.86,3.79,3.73
libel,8.33,4.46,4.13,3.11,4.79
zwam,8.33,,,,4.71
joker,8.34,4.47,4.25,4.11,3.8
as,8.34,3.0,2.75,3.28,4.53
bamboe,8.34,4.55,3.03,4.28,4.8
bonken,8.34,3.19,5.22,5.03,3.71
excuus,8.34,3.52,3.98,3.19,1.8
harnas,8.34,3.77,3.86,5.28,4.67
karwei,8.34,3.39,5.08,4.28,2.93
kinderachtig,8.34,2.75,4.11,2.8,2.53
nuttig,8.34,5.44,4.23,4.69,1.67
ongezond,8.34,2.25,3.33,3.13,2.33
pracht,8.34,5.64,4.25,4.78,2.13
rijpen,8.34,4.75,4.0,4.09,3.13
rotten,8.34,1.95,3.86,3.92,3.67
scheiden,8.34,1.98,5.02,3.83,3.2
slachten,8.34,2.19,5.59,4.83,3.87
smeerlap,8.34,1.88,4.83,4.45,2.67
spits,8.34,3.8,4.58,4.63,3.67
stijl,8.34,5.0,3.61,4.52,2.47
straal,8.34,4.13,4.02,4.3,3.27
stralend,8.34,6.19,4.95,4.86,3.13
typen,8.34,4.2,4.55,3.88,4.4
zenuwen,8.34,3.0,5.3,3.84,3.33
zwanger,8.34,5.34,4.75,4.41,4.13
avontuurlijk,8.34,5.69,5.86,5.27,2.33
heimwee,8.34,2.67,3.92,3.23,1.93
proppen,8.34,3.25,4.75,4.08,3.47
hollen,8.34,3.9,5.7,4.11,3.87
flan,8.35,,,,4.69
bezit,8.35,,,,2.0
stelt,8.35,3.93,3.65,3.95,3.92
afwasmachine,8.35,,,,4.8
woordenboek,8.35,,,,4.6
aandrukken,8.35,,,,3.4
aanmaken,8.35,,,,3.13
afwisselend,8.35,,,,2.07
borstkas,8.35,,,,4.67
dierenbeul,8.35,,,,3.07
directie,8.35,,,,2.8
gesorteerd,8.35,,,,3.07
gezinslid,8.35,,,,3.53
hartaanval,8.35,,,,3.47
henzelf,8.35,,,,1.87
kaartspeler,8.35,,,,3.5
knapperd,8.35,,,,2.8
korrelig,8.35,,,,4.13
landing,8.35,,,,3.67
landweg,8.35,,,,4.13
loopplank,8.35,,,,4.33
nalezen,8.35,,,,3.0
omschrijven,8.35,,,,2.07
onverzorgd,8.35,,,,2.8
overschot,8.35,,,,2.67
pottenbakker,8.35,,,,4.07
rangschikken,8.35,,,,3.13
slakkengang,8.35,,,,2.87
spijkeren,8.35,,,,4.2
stotteren,8.35,,,,4.0
terugkomst,8.35,,,,2.27
trilling,8.35,,,,4.13
uilskuiken,8.35,,,,2.4
vergemakkelijken,8.35,,,,1.93
verstopping,8.35,,,,3.4
zeelui,8.35,,,,3.87
bromfiets,8.35,,,,4.8
tol,8.35,3.38,3.92,3.89,3.67
graafmachine,8.35,,,,4.93
meesturen,8.35,,,,2.6
omheen,8.35,,,,1.36
opgevoed,8.35,,,,1.73
sissen,8.35,,,,3.47
thuiswachten,8.35,,,,2.21
verraden,8.35,,,,2.33
slaaf,8.36,1.89,4.23,2.05,2.93
jak,8.36,,,,4.36
kuilen,8.36,,,,4.0
schoeisel,8.36,,,,3.93
gebel,8.36,,,,
krot,8.36,2.41,3.25,3.05,4.27
gier,8.36,3.14,4.27,4.3,4.87
chef,8.37,4.31,4.72,5.13,2.93
schateren,8.37,,,,3.21
schildering,8.37,,,,3.73
uitgestorven,8.37,,,,2.33
beige,8.37,3.95,3.13,3.33,4.6
bowling,8.37,,,,4.6
flik,8.37,,,,4.13
racebaan,8.38,,,,4.6
neusdoek,8.38,,,,4.87
rijstebrij,8.38,,,,4.43
nop,8.38,,,,3.56
buffel,8.38,4.05,4.44,5.05,4.6
slippers,8.38,,,,4.8
palmboom,8.38,5.44,2.73,4.09,4.8
onderwerp,8.39,,,,1.67
acteur,8.39,,,,3.2
achterkomen,8.39,,,,2.13
achternazitten,8.39,,,,3.47
actrice,8.39,,,,3.8
apostelen,8.39,,,,3.0
artiest,8.39,,,,3.4
autoweg,8.39,,,,4.67
bakpan,8.39,,,,4.53
bandrecorder,8.39,,,,4.6
beplakken,8.39,,,,3.64
bliksemsnel,8.39,,,,2.4
bloedig,8.39,,,,3.6
brandgevaar,8.39,,,,2.27
correct,8.39,,,,1.73
cowboyfilm,8.39,,,,4.53
dansfeest,8.39,,,,3.93
dichtnaaien,8.39,,,,3.93
doder,8.39,,,,3.13
doordoen,8.39,,,,2.4
doorprikken,8.39,,,,3.8
doorzoeken,8.39,,,,3.0
eenmalig,8.39,,,,1.73
evenwicht,8.39,,,,2.33
feestelijk,8.39,,,,2.2
frituurpan,8.39,,,,4.67
gebrabbel,8.39,,,,3.13
gehaast,8.39,,,,2.4
gemekker,8.39,,,,3.47
gemopper,8.39,,,,3.07
geploeter,8.39,,,,3.07
grafzerk,8.39,,,,4.57
grasgroen,8.39,,,,3.93
haarlak,8.39,,,,4.53
haarzelf,8.39,,,,1.93
heksenkring,8.39,,,,3.6
hoeden,8.39,,,,3.6
ijspegel,8.39,,,,4.73
inspuiting,8.39,,,,3.4
intrappen,8.39,,,,3.0
kibbelen,8.39,,,,3.33
koeling,8.39,,,,3.67
kookvuur,8.39,,,,4.6
kunstenares,8.39,,,,2.93
kwartet,8.39,,,,3.27
lampenkap,8.39,,,,4.6
lerarenkamer,8.39,,,,4.0
mafkees,8.39,,,,2.33
manege,8.39,,,,4.64
mankepoot,8.39,,,,3.6
naroepen,8.39,,,,3.6
ondertitels,8.39,,,,4.47
onderwijs,8.39,,,,2.13
ontmoeting,8.39,,,,3.07
onverstaanbaar,8.39,,,,2.8
oogdruppels,8.39,,,,4.47
opbranden,8.39,,,,3.87
overslapen,8.39,,,,3.73
pasgeborene,8.39,,,,4.2
polshorloge,8.39,,,,4.8
rijtjeshuis,8.39,,,,4.33
riolering,8.39,,,,4.4
rondsluipen,8.39,,,,3.27
ruimtepak,8.39,,,,4.6
schimmelkaas,8.39,,,,4.6
sleutelbos,8.39,,,,4.67
softijs,8.39,,,,4.67
stokoud,8.39,,,,2.8
strafpunt,8.39,,,,3.27
tegenspeler,8.39,,,,3.27
tevoren,8.39,,,,1.6
torenklok,8.39,,,,4.71
trektocht,8.39,,,,3.6
tussenin,8.39,,,,1.93
uitgerust,8.39,,,,2.47
uitschelden,8.39,,,,3.2
verbonden,8.39,,,,3.2
verfpalet,8.39,,,,4.6
verhuiswagen,8.39,,,,4.07
voorbereiden,8.39,,,,2.4
voorbijganger,8.39,,,,3.27
voorraad,8.39,,,,2.93
welnee,8.39,,,,1.2
wijzelf,8.39,,,,1.67
woordenschat,8.39,,,,2.07
zigeuner,8.39,,,,3.93
verdedigend,8.39,,,,2.13
meikever,8.39,,,,4.67
drempel,8.39,3.53,3.41,3.95,4.47
schild,8.39,3.98,3.6,5.25,4.53
drumstel,8.39,,,,4.87
buts,8.4,,,,3.4
ademhaling,8.4,,,,3.6
